"Season","GameDate","TeamName","OpponentName","Score","GameId"
1967,1967-10-15,"THW Kiel","VfL Gummersbach","12:14","b7b60678-3960-11ef-b148-2906cc9fb6bc"
1967,1968-01-27,"TV Hochdorf","TuS 1860 Neunkirchen","10:6","c175005a-3960-11ef-89f2-d3de5c174a65"
1967,1968-02-17,"BSV Solingen 1898","THW Kiel","12:11","c0de4c50-3960-11ef-9c49-d3de5c174a65"
1967,1967-10-21,"VfL Gummersbach","Hamburger SV","25:12","b7c537d7-3960-11ef-95d3-2906cc9fb6bc"
1967,1968-02-24,"VfL Gummersbach","Polizei SV Hannover","23:16","b854e5d2-3960-11ef-9199-2906cc9fb6bc"
1967,1967-12-09,"TuS 1860 Neunkirchen","Füchse Berlin","15:10","c37257b7-3960-11ef-8c91-d3de5c174a65"
1967,1968-03-02,"VfL Gummersbach","THW Kiel","32:17","b8630d25-3960-11ef-beee-2906cc9fb6bc"
1967,1967-11-11,"VfL Gummersbach","VfL Lübeck-Schwartau","23:14","b7e50285-3960-11ef-a19b-2906cc9fb6bc"
1967,1967-11-12,"Polizei SV Hannover","BSV Solingen 1898","18:16","c0546027-3960-11ef-a52d-d3de5c174a65"
1967,1967-11-18,"THW Kiel","BSV Solingen 1898","11:10","c0d064bb-3960-11ef-9bbc-d3de5c174a65"
1967,1968-01-20,"S3L Handball","Berliner SV 1892","22:18","c22bab6b-3960-11ef-acc6-d3de5c174a65"
1967,1968-02-10,"BSV Solingen 1898","Polizei SV Hannover","16:12","c0806242-3960-11ef-a33b-d3de5c174a65"
1967,1967-11-17,"S3L Handball","Füchse Berlin","30:14","c1f98062-3960-11ef-a1d6-d3de5c174a65"
1967,1967-11-12,"TuS 05 Wellinghofen","THW Kiel","10:16","bfe2c2d5-3960-11ef-ba73-d3de5c174a65"
1967,1967-11-11,"Berliner SV 1892","Füchse Berlin","14:18","c363f5ac-3960-11ef-bb87-d3de5c174a65"
1967,1967-12-09,"VfL Lübeck-Schwartau","TuS 05 Wellinghofen","12:13","bff0f47e-3960-11ef-909f-d3de5c174a65"
1967,1968-03-06,"S3L Handball","TV Hochdorf","16:13","c1a13c95-3960-11ef-ae26-d3de5c174a65"
1967,1967-11-05,"VfL Lübeck-Schwartau","Polizei SV Hannover","13:15","c0469ace-3960-11ef-93bb-d3de5c174a65"
1967,1968-01-13,"Hamburger SV","VfL Gummersbach","19:21","b8279c37-3960-11ef-885e-2906cc9fb6bc"
1967,1968-01-13,"TV Hochdorf","Füchse Berlin","10:7","c156acc4-3960-11ef-9929-d3de5c174a65"
1967,1967-12-09,"VfL Gummersbach","GWD Minden","13:12","b81837e7-3960-11ef-8b35-2906cc9fb6bc"
1967,1968-02-02,"VfL Gummersbach","BSV Solingen 1898","28:11","b8364287-3960-11ef-b8b1-2906cc9fb6bc"
1967,1967-11-18,"VfL Lübeck-Schwartau","Hamburger SV","13:21","b988bb01-3960-11ef-84aa-2906cc9fb6bc"
1967,1968-02-23,"SpVgg 1887 Möhringen","TV Hochdorf","11:16","c192246c-3960-11ef-8a90-d3de5c174a65"
1967,1967-10-21,"TV Hochdorf","TSV Birkenau","16:16","c0fe2baf-3960-11ef-878f-d3de5c174a65"
1967,1967-12-09,"TSV Birkenau","Berliner SV 1892","16:15","c2c42c7a-3960-11ef-83a0-d3de5c174a65"
1967,1968-01-14,"TuS 05 Wellinghofen","Polizei SV Hannover","12:10","c00efb31-3960-11ef-80e9-d3de5c174a65"
1967,1968-03-10,"Füchse Berlin","S3L Handball","22:26","c2647f2e-3960-11ef-bb47-d3de5c174a65"
1967,1967-12-08,"BSV Solingen 1898","Hamburger SV","18:25","b9a505d8-3960-11ef-a4dd-2906cc9fb6bc"
