GameDay,Season,Game Date,Home,Away,Home Score,Away Score,Notes
1,1993,19.09.1992,TuS Walle Bremen,Buxtehuder SV,20,18,
1,1993,19.09.1992,Berliner TSC,VfL Sindelfingen,23,28,
1,1993,19.09.1992,TV Lützellinden,SC Leipzig,26,19,
1,1993,19.09.1992,TSV Bayer 04 Leverkusen,TV 05 Mainzlar,20,20,
1,1993,19.09.1992,SC Magdeburg,BFV Frankfurt/Oder,14,15,
1,1993,19.09.1992,TuS Eintracht Minden,VfL Oldenburg,22,17,
1,1993,19.09.1992,PSV Grünweiß Frankfurt,DJK SC SW Wiesbaden,22,22,ohne Wertung
2,1993,26.09.1992,SC Leipzig,TuS Walle Bremen,18,22,
2,1993,26.09.1992,VfL Sindelfingen,SC Magdeburg,20,19,
2,1993,26.09.1992,DJK SC SW Wiesbaden,Berliner TSC,24,13,
2,1993,26.09.1992,Buxtehuder SV,TuS Eintracht Minden,23,18,
2,1993,26.09.1992,VfL Oldenburg,TSV Bayer 04 Leverkusen,19,37,
2,1993,26.09.1992,TV 05 Mainzlar,PSV Grünweiß Frankfurt,20,17,ohne Wertung
2,1993,17.10.1992,BFV Frankfurt/Oder,TV Lützellinden,21,23,
3,1993,30.09.1992,SC Magdeburg,DJK SC SW Wiesbaden,21,16,
3,1993,30.09.1992,TV Lützellinden,VfL Sindelfingen,25,15,
3,1993,30.09.1992,TSV Bayer 04 Leverkusen,Buxtehuder SV,23,18,
3,1993,30.09.1992,TuS Eintracht Minden,SC Leipzig,22,23,
3,1993,30.09.1992,TuS Walle Bremen,BFV Frankfurt/Oder,20,13,
3,1993,30.09.1992,VfL Oldenburg,TV 05 Mainzlar,17,14,
3,1993,30.09.1992,Berliner TSC,PSV Grünweiß Frankfurt,23,20,ohne Wertung
4,1993,03.10.1992,VfL Sindelfingen,TuS Walle Bremen,21,26,
4,1993,03.10.1992,TV 05 Mainzlar,Berliner TSC,26,19,
4,1993,03.10.1992,DJK SC SW Wiesbaden,TV Lützellinden,14,16,
4,1993,03.10.1992,Buxtehuder SV,VfL Oldenburg,30,19,
4,1993,03.10.1992,SC Leipzig,TSV Bayer 04 Leverkusen,20,19,
4,1993,03.10.1992,PSV Grünweiß Frankfurt,SC Magdeburg,23,24,ohne Wertung
4,1993,19.12.1992,BFV Frankfurt/Oder,TuS Eintracht Minden,18,12,
5,1993,07.10.1992,SC Magdeburg,Berliner TSC,17,13,
5,1993,07.10.1992,VfL Oldenburg,SC Leipzig,16,21,
5,1993,07.10.1992,TuS Walle Bremen,DJK SC SW Wiesbaden,17,14,
5,1993,07.10.1992,TuS Eintracht Minden,VfL Sindelfingen,15,15,
5,1993,07.10.1992,Buxtehuder SV,TV 05 Mainzlar,27,22,
5,1993,07.10.1992,TV Lützellinden,PSV Grünweiß Frankfurt,34,16,ohne Wertung
6,1993,10.10.1992,SC Leipzig,Buxtehuder SV,23,21,
6,1993,10.10.1992,BFV Frankfurt/Oder,VfL Oldenburg,24,19,
