"PlayerName","PlayerID","Position","Bib","Season","GameDate","GameID","HomeAway","TeamName","OpponentName","TeamScore","OpponentScore","GameWinner","goalKeeperShotsSaved","goalKeeperGoalsAgainst","goalKeeperSevenMetreShotsSaved","goalKeeperFieldShotsSaved","goalKeeperSixMetreShotsSaved","goalKeeperNineMetreShotsSaved","goalKeeperWingShotsSaved","goalKeeperPivotShotsSaved","goalKeeperFastBreakShotsSaved","twoMinuteSuspensions","redCards","blueCards","goalKeeperFastBreakSaveAccuracy","goalKeeperNineMetreSaveAccuracy","goalKeeperPivotSaveAccuracy","goalKeeperSixMetreSaveAccuracy","goalKeeperWingSaveAccuracy","yellowCards"
"Jonas Maier","46b6afbc-3953-11ef-95ef-855e48b08f9c","G",12,2017,"8/24/2017","ee0ac03f-395a-11ef-b760-4d46d86959d8","home","TVB Stuttgart","MT Melsungen",29,27,TRUE,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Johannes Bitter","518c1945-3953-11ef-b8bb-a9530db97767","G",1,2017,"8/24/2017","ee0ac03f-395a-11ef-b760-4d46d86959d8","home","TVB Stuttgart","MT Melsungen",29,27,TRUE,10,26,0,10,2,5,2,1,0,0,0,NA,NA,31,20,22,50,NA
"Johan Sjöstrand","50f3aae7-3953-11ef-989a-a9530db97767","G",1,2017,"8/24/2017","ee0ac03f-395a-11ef-b760-4d46d86959d8","away","MT Melsungen","TVB Stuttgart",27,29,FALSE,4,14,0,4,3,1,0,0,0,0,0,NA,NA,20,0,60,0,NA
"Nebojsa Simic","733bc91a-3954-11ef-9c27-bdf3bafad9bd","G",16,2017,"8/24/2017","ee0ac03f-395a-11ef-b760-4d46d86959d8","away","MT Melsungen","TVB Stuttgart",27,29,FALSE,6,14,0,6,1,3,1,1,0,0,0,NA,0,43,20,50,33,NA
"Kevin Klier","52470b70-3953-11ef-8c5b-a9530db97767","G",1,2017,"8/24/2017","edfb02c9-395a-11ef-8fee-4d46d86959d8","home","Eulen Ludwigshafen","FRISCH AUF! Göppingen",25,32,FALSE,3,23,0,3,0,2,0,0,1,0,0,NA,20,29,0,0,0,NA
"Roko Peribonio","526b91cf-3953-11ef-ba88-a9530db97767","G",36,2017,"8/24/2017","edfb02c9-395a-11ef-8fee-4d46d86959d8","home","Eulen Ludwigshafen","FRISCH AUF! Göppingen",25,32,FALSE,1,9,0,1,1,0,0,0,0,0,0,NA,0,0,NA,20,0,NA
"Daniel Rebmann","4f58a816-3953-11ef-8711-a9530db97767","G",12,2017,"8/24/2017","edfb02c9-395a-11ef-8fee-4d46d86959d8","away","FRISCH AUF! Göppingen","Eulen Ludwigshafen",32,25,TRUE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Primož Prošt","4f62a7ac-3953-11ef-839d-a9530db97767","G",16,2017,"8/24/2017","edfb02c9-395a-11ef-8fee-4d46d86959d8","away","FRISCH AUF! Göppingen","Eulen Ludwigshafen",32,25,TRUE,13,25,2,11,2,4,4,1,0,0,0,NA,0,50,14,25,57,NA
"Dario Quenstedt","44b187b6-3953-11ef-9e2b-855e48b08f9c","G",21,2017,"8/27/2017","ee37af50-395a-11ef-96af-4d46d86959d8","home","SC Magdeburg","TV 05/07 Hüttenberg",33,26,TRUE,7,8,1,6,1,4,0,1,0,0,0,NA,0,67,100,50,0,NA
"Jannick Green Krejberg","44d79a17-3953-11ef-8d39-855e48b08f9c","G",16,2017,"8/27/2017","ee37af50-395a-11ef-96af-4d46d86959d8","home","SC Magdeburg","TV 05/07 Hüttenberg",33,26,TRUE,5,18,0,5,1,3,0,1,0,0,0,NA,0,33,20,25,0,NA
"Fabian Schomburg","5b2bab03-3953-11ef-ae3a-a9530db97767","G",12,2017,"8/27/2017","ee37af50-395a-11ef-96af-4d46d86959d8","away","TV 05/07 Hüttenberg","SC Magdeburg",26,33,FALSE,3,4,1,2,2,0,0,0,0,0,0,NA,NA,NA,NA,67,0,NA
"Matthias Ritschel","5b3b28b7-3953-11ef-9a1f-a9530db97767","G",1,2017,"8/27/2017","ee37af50-395a-11ef-96af-4d46d86959d8","away","TV 05/07 Hüttenberg","SC Magdeburg",26,33,FALSE,11,29,0,11,6,1,3,0,1,0,0,NA,25,33,0,33,27,NA
"Kim Sonne-Hansen","473b8484-3953-11ef-bf2b-855e48b08f9c","G",16,2017,"8/27/2017","ee45546d-395a-11ef-8da1-4d46d86959d8","home","GWD Minden","SC DHfK Leipzig",26,29,FALSE,4,11,0,4,1,3,0,0,0,0,0,NA,NA,43,0,50,0,NA
"Espen Christensen","73b6b317-3954-11ef-9291-bdf3bafad9bd","G",1,2017,"8/27/2017","ee45546d-395a-11ef-8da1-4d46d86959d8","home","GWD Minden","SC DHfK Leipzig",26,29,FALSE,4,18,0,4,0,3,0,1,0,0,0,NA,0,30,100,0,0,NA
"Jens Vortmann","4ff580b2-3953-11ef-b72c-a9530db97767","G",1,2017,"8/27/2017","ee45546d-395a-11ef-8da1-4d46d86959d8","away","SC DHfK Leipzig","GWD Minden",29,26,TRUE,7,13,3,4,1,2,1,0,0,0,0,NA,NA,29,0,50,25,NA
"Milos Putera","50040472-3953-11ef-92f6-a9530db97767","G",44,2017,"8/27/2017","ee45546d-395a-11ef-8da1-4d46d86959d8","away","SC DHfK Leipzig","GWD Minden",29,26,TRUE,1,13,0,1,1,0,0,0,0,0,0,NA,0,0,0,33,0,NA
"Carsten Lichtlein","45b18c09-3953-11ef-aa0f-855e48b08f9c","G",1,2017,"8/27/2017","ee29e928-395a-11ef-80c4-4d46d86959d8","home","VfL Gummersbach","HSG Wetzlar",22,33,FALSE,6,24,0,6,2,4,0,0,0,0,0,NA,0,33,0,67,0,NA
"Lasse Hasenforther","5d2e06b9-3954-11ef-95df-abb3924935a8","G",25,2017,"8/27/2017","ee29e928-395a-11ef-80c4-4d46d86959d8","home","VfL Gummersbach","HSG Wetzlar",22,33,FALSE,4,9,0,4,1,2,1,0,0,0,0,NA,0,67,0,33,33,NA
"Nikolai Weber","438dad2c-3953-11ef-a46d-855e48b08f9c","G",98,2017,"8/27/2017","ee29e928-395a-11ef-80c4-4d46d86959d8","away","HSG Wetzlar","VfL Gummersbach",33,22,TRUE,3,7,0,3,0,3,0,0,0,0,0,NA,NA,60,NA,0,0,NA
"Till Klimpke","43d6ab14-3953-11ef-8590-855e48b08f9c","G",11,2017,"8/27/2017","ee29e928-395a-11ef-80c4-4d46d86959d8","away","HSG Wetzlar","VfL Gummersbach",33,22,TRUE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin Burić","43e2dd60-3953-11ef-a0c7-855e48b08f9c","G",12,2017,"8/27/2017","ee29e928-395a-11ef-80c4-4d46d86959d8","away","HSG Wetzlar","VfL Gummersbach",33,22,TRUE,9,15,0,9,2,6,1,0,0,0,0,NA,NA,50,0,40,33,NA
"Mattias Andersson","452b38fc-3953-11ef-b6b1-855e48b08f9c","G",1,2017,"8/27/2017","ee1aeaeb-395a-11ef-a17e-4d46d86959d8","home","SG Flensburg-Handewitt","TuS N-Lübbecke",37,23,TRUE,16,23,1,15,0,9,4,2,0,0,0,NA,0,60,40,0,67,NA
"Rasmus Lind","735a526f-3954-11ef-b4c9-bdf3bafad9bd","G",31,2017,"8/27/2017","ee1aeaeb-395a-11ef-a17e-4d46d86959d8","home","SG Flensburg-Handewitt","TuS N-Lübbecke",37,23,TRUE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joel Birlehm","475250a3-3953-11ef-8ffd-855e48b08f9c","G",35,2017,"8/27/2017","ee1aeaeb-395a-11ef-a17e-4d46d86959d8","away","TuS N-Lübbecke","SG Flensburg-Handewitt",23,37,FALSE,3,11,0,3,0,2,1,0,0,0,0,NA,0,50,NA,0,25,NA
"Peter Tatai","67d4ad9c-3953-11ef-a27e-2510cc07ea6e","G",12,2017,"8/27/2017","ee1aeaeb-395a-11ef-a17e-4d46d86959d8","away","TuS N-Lübbecke","SG Flensburg-Handewitt",23,37,FALSE,6,26,0,6,0,2,1,2,1,0,0,NA,13,22,100,0,14,NA
"Peter Johannesson","466185d8-3953-11ef-ae50-855e48b08f9c","G",25,2017,"8/27/2017","ee530260-395a-11ef-a296-4d46d86959d8","home","TBV Lemgo Lippe","Rhein-Neckar Löwen",24,26,FALSE,7,21,1,6,0,3,1,0,0,0,0,NA,0,27,0,0,25,NA
"Piotr Wyszomirski","46d7fd77-3953-11ef-afb1-855e48b08f9c","G",1,2017,"8/27/2017","ee530260-395a-11ef-a296-4d46d86959d8","home","TBV Lemgo Lippe","Rhein-Neckar Löwen",24,26,FALSE,4,5,0,4,0,3,0,1,0,0,0,NA,NA,75,50,0,0,NA
"Andreas Palicka","445b2cbc-3953-11ef-902b-855e48b08f9c","G",12,2017,"8/27/2017","ee530260-395a-11ef-a296-4d46d86959d8","away","Rhein-Neckar Löwen","TBV Lemgo Lippe",26,24,TRUE,10,11,0,10,2,4,0,3,1,0,0,NA,50,57,100,29,0,NA
"Mikael  Appelgren","44645e02-3953-11ef-8503-855e48b08f9c","G",1,2017,"8/27/2017","ee530260-395a-11ef-a296-4d46d86959d8","away","Rhein-Neckar Löwen","TBV Lemgo Lippe",26,24,TRUE,3,13,0,3,1,2,0,0,0,0,0,NA,0,25,0,33,NA,NA
"Joel Birlehm","475250a3-3953-11ef-8ffd-855e48b08f9c","G",35,2017,"8/30/2017","ee80da73-395a-11ef-b6bc-4d46d86959d8","home","TuS N-Lübbecke","THW Kiel",21,33,FALSE,3,10,0,3,1,1,0,0,1,0,0,NA,100,20,0,50,NA,NA
"Peter Tatai","67d4ad9c-3953-11ef-a27e-2510cc07ea6e","G",12,2017,"8/30/2017","ee80da73-395a-11ef-b6bc-4d46d86959d8","home","TuS N-Lübbecke","THW Kiel",21,33,FALSE,13,23,0,13,3,5,4,0,1,0,0,NA,14,45,0,50,67,NA
"Andreas Wolff","52065d5c-3953-11ef-9fe5-a9530db97767","G",77,2017,"8/30/2017","ee80da73-395a-11ef-b6bc-4d46d86959d8","away","THW Kiel","TuS N-Lübbecke",33,21,TRUE,13,21,1,12,3,8,1,0,0,0,0,NA,NA,67,0,30,14,NA
"Niklas Landin Jacobsen","5217611d-3953-11ef-888e-a9530db97767","G",1,2017,"8/30/2017","ee80da73-395a-11ef-b6bc-4d46d86959d8","away","THW Kiel","TuS N-Lübbecke",33,21,TRUE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin Ziemer","4f967849-3953-11ef-9282-a9530db97767","G",1,2017,"8/31/2017","eed53ad5-395a-11ef-bb28-4d46d86959d8","home","TSV Hannover-Burgdorf","SG Flensburg-Handewitt",32,29,TRUE,9,22,0,9,7,1,0,1,0,0,0,NA,NA,25,50,41,0,NA
"Malte Semisch","4fa9049a-3953-11ef-b76d-a9530db97767","G",16,2017,"8/31/2017","eed53ad5-395a-11ef-bb28-4d46d86959d8","home","TSV Hannover-Burgdorf","SG Flensburg-Handewitt",32,29,TRUE,2,7,0,2,1,0,0,1,0,0,0,NA,0,0,100,33,0,NA
"Mattias Andersson","452b38fc-3953-11ef-b6b1-855e48b08f9c","G",1,2017,"8/31/2017","eed53ad5-395a-11ef-bb28-4d46d86959d8","away","SG Flensburg-Handewitt","TSV Hannover-Burgdorf",29,32,FALSE,8,30,0,8,4,4,0,0,0,0,0,NA,0,40,0,24,0,NA
"Rasmus Lind","735a526f-3954-11ef-b4c9-bdf3bafad9bd","G",31,2017,"8/31/2017","eed53ad5-395a-11ef-bb28-4d46d86959d8","away","SG Flensburg-Handewitt","TSV Hannover-Burgdorf",29,32,FALSE,1,2,0,1,0,0,1,0,0,0,0,NA,0,NA,NA,NA,100,NA
"Nikolas Katsigiannis","45639986-3953-11ef-a60e-855e48b08f9c","G",29,2017,"8/31/2017","eeb8c3fb-395a-11ef-bb73-4d46d86959d8","home","HC Erlangen","TBV Lemgo Lippe",24,28,FALSE,8,19,0,8,2,3,2,0,1,0,0,NA,33,38,0,33,67,NA
"Gorazd Škof","73631cf2-3954-11ef-b917-bdf3bafad9bd","G",12,2017,"8/31/2017","eeb8c3fb-395a-11ef-bb73-4d46d86959d8","home","HC Erlangen","TBV Lemgo Lippe",24,28,FALSE,3,9,0,3,0,2,0,1,0,0,0,NA,0,40,33,0,NA,NA
"Peter Johannesson","466185d8-3953-11ef-ae50-855e48b08f9c","G",25,2017,"8/31/2017","eeb8c3fb-395a-11ef-bb73-4d46d86959d8","away","TBV Lemgo Lippe","HC Erlangen",28,24,TRUE,6,18,0,6,1,3,2,0,0,0,0,NA,0,33,0,17,50,NA
"Piotr Wyszomirski","46d7fd77-3953-11ef-afb1-855e48b08f9c","G",1,2017,"8/31/2017","eeb8c3fb-395a-11ef-bb73-4d46d86959d8","away","TBV Lemgo Lippe","HC Erlangen",28,24,TRUE,4,6,1,3,2,1,0,0,0,0,0,NA,0,50,NA,50,0,NA
"Nikolai Weber","438dad2c-3953-11ef-a46d-855e48b08f9c","G",98,2017,"8/31/2017","ee9d4302-395a-11ef-b0b8-4d46d86959d8","home","HSG Wetzlar","GWD Minden",24,24,FALSE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Till Klimpke","43d6ab14-3953-11ef-8590-855e48b08f9c","G",11,2017,"8/31/2017","ee9d4302-395a-11ef-b0b8-4d46d86959d8","home","HSG Wetzlar","GWD Minden",24,24,FALSE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin Burić","43e2dd60-3953-11ef-a0c7-855e48b08f9c","G",12,2017,"8/31/2017","ee9d4302-395a-11ef-b0b8-4d46d86959d8","home","HSG Wetzlar","GWD Minden",24,24,FALSE,11,24,0,11,7,0,3,0,1,0,0,NA,20,0,0,44,75,NA
"Maurice Paske","510b662c-3953-11ef-a1b9-a9530db97767","G",12,2017,"8/31/2017","ee9d4302-395a-11ef-b0b8-4d46d86959d8","away","GWD Minden","HSG Wetzlar",24,24,FALSE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espen Christensen","73b6b317-3954-11ef-9291-bdf3bafad9bd","G",1,2017,"8/31/2017","ee9d4302-395a-11ef-b0b8-4d46d86959d8","away","GWD Minden","HSG Wetzlar",24,24,FALSE,9,23,1,8,1,4,2,0,0,0,0,NA,0,67,0,11,29,NA
"Jens Vortmann","4ff580b2-3953-11ef-b72c-a9530db97767","G",1,2017,"8/31/2017","eeab60d7-395a-11ef-b701-4d46d86959d8","home","SC DHfK Leipzig","TV 05/07 Hüttenberg",26,25,TRUE,13,22,0,13,1,11,0,0,1,0,0,NA,100,52,NA,10,0,NA
"Milos Putera","50040472-3953-11ef-92f6-a9530db97767","G",44,2017,"8/31/2017","eeab60d7-395a-11ef-b701-4d46d86959d8","home","SC DHfK Leipzig","TV 05/07 Hüttenberg",26,25,TRUE,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabian Schomburg","5b2bab03-3953-11ef-ae3a-a9530db97767","G",12,2017,"8/31/2017","eeab60d7-395a-11ef-b701-4d46d86959d8","away","TV 05/07 Hüttenberg","SC DHfK Leipzig",25,26,FALSE,8,17,2,6,1,1,2,0,1,0,0,NA,100,20,NA,14,29,NA
"Matthias Ritschel","5b3b28b7-3953-11ef-9a1f-a9530db97767","G",1,2017,"8/31/2017","eeab60d7-395a-11ef-b701-4d46d86959d8","away","TV 05/07 Hüttenberg","SC DHfK Leipzig",25,26,FALSE,5,7,0,5,2,3,0,0,0,0,0,NA,NA,50,NA,50,NA,NA
"Dario Quenstedt","44b187b6-3953-11ef-9e2b-855e48b08f9c","G",21,2017,"8/31/2017","ee8fdcf6-395a-11ef-8759-4d46d86959d8","home","SC Magdeburg","Eulen Ludwigshafen",30,26,TRUE,5,14,1,4,0,3,1,0,0,0,0,NA,0,33,0,0,33,NA
"Jannick Green Krejberg","44d79a17-3953-11ef-8d39-855e48b08f9c","G",16,2017,"8/31/2017","ee8fdcf6-395a-11ef-8759-4d46d86959d8","home","SC Magdeburg","Eulen Ludwigshafen",30,26,TRUE,4,12,0,4,0,4,0,0,0,0,0,NA,0,40,0,0,0,NA
