PlayerName,PlayerID,Position,Bib,Season,GameDate,GameID,HomeAway,TeamName,OpponentName,TeamScore,OpponentScore,GameWinner,goalKeeperShotsSaved,goalKeeperSaveAccuracy,goalKeeperGoalsAgainst,goalKeeperSevenMetreShotsSaved,goalKeeperSevenMetreSaveAccuracy,goalKeeperFieldShotsSaved,goalKeeperFieldSaveAccuracy,goalKeeperFieldShotsAgainst,goalKeeperSixMetreShotsSaved,goalKeeperSixMetreSaveAccuracy,goalKeeperNineMetreShotsSaved,goalKeeperNineMetreCentreSaveAccuracy,goalKeeperWingShotsSaved,goalKeeperWingSaveAccuracy,goalKeeperPivotShotsSaved,goalKeeperPivotSaveAccuracy,goalKeeperFastBreakShotsSaved,goalKeeperFastBreakSaveAccuracy,goalsScored,assists,twoMinuteSuspensions,redCards
Martin Ziemer,4f967849-3953-11ef-9282-a9530db97767,G,1,2017,5/27/2018,0c0e8b00-395b-11ef-bb69-81dc40648355,home,TSV Hannover-Burgdorf,SC DHfK Leipzig,30,26,TRUE,2,20,8,1,50,1,12,9,1,20,0,NA,0,0,0,NA,0,0,0,1,0,0
Malte Semisch,4fa9049a-3953-11ef-b76d-a9530db97767,G,16,2017,5/27/2018,0c0e8b00-395b-11ef-bb69-81dc40648355,home,TSV Hannover-Burgdorf,SC DHfK Leipzig,30,26,TRUE,5,23,17,1,50,4,20,20,1,11,1,50,1,25,1,33,0,0,0,0,0,0
Jens Vortmann,4ff580b2-3953-11ef-b72c-a9530db97767,G,1,2017,5/27/2018,0c0e8b00-395b-11ef-bb69-81dc40648355,away,SC DHfK Leipzig,TSV Hannover-Burgdorf,26,30,FALSE,3,21,11,0,0,3,25,12,3,38,0,0,0,NA,0,NA,0,0,0,0,0,0
Milos Putera,50040472-3953-11ef-92f6-a9530db97767,G,44,2017,5/27/2018,0c0e8b00-395b-11ef-bb69-81dc40648355,away,SC DHfK Leipzig,TSV Hannover-Burgdorf,26,30,FALSE,1,5,18,0,0,1,6,17,0,0,0,NA,1,17,0,0,0,0,0,0,0,0
Mattias Andersson,452b38fc-3953-11ef-b6b1-855e48b08f9c,G,1,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,home,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,22,21,TRUE,4,29,10,1,25,3,30,10,1,50,2,50,0,NA,0,0,0,NA,0,0,0,0
Kevin Møller,454487a1-3953-11ef-b79a-855e48b08f9c,G,16,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,home,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,22,21,TRUE,8,42,11,0,0,8,50,17,3,60,2,100,1,33,2,50,0,0,0,0,0,0
Daniel Rebmann,4f58a816-3953-11ef-8711-a9530db97767,G,30,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,away,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,21,22,FALSE,0,0,2,0,NA,0,0,2,0,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0
Primož Prošt,4f62a7ac-3953-11ef-839d-a9530db97767,G,16,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,away,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,21,22,FALSE,11,35,20,2,67,9,32,29,2,29,3,38,1,25,2,33,1,33,0,0,1,0
Mattias Andersson,452b38fc-3953-11ef-b6b1-855e48b08f9c,G,1,2017,5/20/2018,0b2908e5-395b-11ef-994f-81dc40648355,home,SG Flensburg-Handewitt,GWD Minden,24,23,TRUE,15,39,23,1,25,14,41,36,5,62,5,38,2,67,2,33,0,0,0,0,0,0
Kevin Møller,454487a1-3953-11ef-b79a-855e48b08f9c,G,16,2017,5/20/2018,0b2908e5-395b-11ef-994f-81dc40648355,home,SG Flensburg-Handewitt,GWD Minden,24,23,TRUE,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kim Sonne-Hansen,473b8484-3953-11ef-bf2b-855e48b08f9c,G,16,2017,5/20/2018,0b2908e5-395b-11ef-994f-81dc40648355,away,GWD Minden,SG Flensburg-Handewitt,23,24,FALSE,11,31,24,0,0,11,33,34,2,25,4,44,3,33,2,33,0,NA,0,0,0,0
Espen Christensen,73b6b317-3954-11ef-9291-bdf3bafad9bd,G,1,2017,5/20/2018,0b2908e5-395b-11ef-994f-81dc40648355,away,GWD Minden,SG Flensburg-Handewitt,23,24,FALSE,1,100,0,1,100,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0
Petr Štochl,10c5f5f4-3956-11ef-9504-63392ed267d4,G,71,2017,5/13/2018,fefe0f18-395a-11ef-83e7-3d83d46a9f21,home,Füchse Berlin,Rhein-Neckar Löwen,29,23,TRUE,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silvio Heinevetter,43ebefd2-3953-11ef-b00f-855e48b08f9c,G,12,2017,5/13/2018,fefe0f18-395a-11ef-83e7-3d83d46a9f21,home,Füchse Berlin,Rhein-Neckar Löwen,29,23,TRUE,20,47,23,3,60,17,45,38,8,44,7,78,2,67,0,0,0,0,0,0,0,0
Andreas Palicka,445b2cbc-3953-11ef-902b-855e48b08f9c,G,12,2017,5/13/2018,fefe0f18-395a-11ef-83e7-3d83d46a9f21,away,Rhein-Neckar Löwen,Füchse Berlin,23,29,FALSE,5,24,16,1,25,4,24,18,2,40,1,25,1,33,0,0,0,0,0,0,0,0
Mikael  Appelgren,44645e02-3953-11ef-8503-855e48b08f9c,G,1,2017,5/13/2018,fefe0f18-395a-11ef-83e7-3d83d46a9f21,away,Rhein-Neckar Löwen,Füchse Berlin,23,29,FALSE,3,21,11,0,0,3,25,12,1,100,2,0,0,0,0,0,0,NA,0,0,0,0
Till Klimpke,43d6ab14-3953-11ef-8590-855e48b08f9c,G,11,2017,3/29/2018,08556274-395b-11ef-95ef-81dc40648355,home,HSG Wetzlar,SC Magdeburg,27,29,FALSE,0,0,4,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0
Benjamin Burić,43e2dd60-3953-11ef-a0c7-855e48b08f9c,G,12,2017,3/29/2018,08556274-395b-11ef-95ef-81dc40648355,home,HSG Wetzlar,SC Magdeburg,27,29,FALSE,8,24,25,2,29,5,71,10,1,50,2,100,1,50,0,NA,1,100,0,0,0,0
Dario Quenstedt,44b187b6-3953-11ef-9e2b-855e48b08f9c,G,21,2017,3/29/2018,08556274-395b-11ef-95ef-81dc40648355,away,SC Magdeburg,HSG Wetzlar,29,27,TRUE,12,32,25,0,0,12,92,14,3,100,6,100,2,67,0,NA,1,100,0,0,0,0
Jannick Green Krejberg,44d79a17-3953-11ef-8d39-855e48b08f9c,G,16,2017,3/29/2018,08556274-395b-11ef-95ef-81dc40648355,away,SC Magdeburg,HSG Wetzlar,29,27,TRUE,0,0,2,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0
Carsten Lichtlein,45b18c09-3953-11ef-aa0f-855e48b08f9c,G,1,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,home,VfL Gummersbach,TSV Hannover-Burgdorf,29,31,FALSE,2,15,11,1,25,1,11,9,0,NA,0,0,0,0,0,NA,1,100,0,0,0,0
Matthias Puhle,45c3d49e-3953-11ef-a204-855e48b08f9c,G,16,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,home,VfL Gummersbach,TSV Hannover-Burgdorf,29,31,FALSE,13,43,17,1,33,12,44,27,3,60,5,0,1,12,1,100,2,40,0,0,0,0
Martin Ziemer,4f967849-3953-11ef-9282-a9530db97767,G,1,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,away,TSV Hannover-Burgdorf,VfL Gummersbach,31,29,TRUE,11,38,18,1,33,10,38,27,1,25,4,60,4,57,1,33,0,0,0,2,0,0
Malte Semisch,4fa9049a-3953-11ef-b76d-a9530db97767,G,16,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,away,TSV Hannover-Burgdorf,VfL Gummersbach,31,29,TRUE,4,27,11,0,0,4,31,14,1,25,3,33,0,0,0,0,0,NA,0,0,0,0
