PlayerName,PlayerID,Position,Bib,Season,GameDate,GameID,HomeAway,TeamName,OpponentName,TeamScore,OpponentScore,GameWinner,goalKeeperShotsSaved,goalKeeperSaveAccuracy,goalKeeperGoalsAgainst,goalKeeperSevenMetreShotsSaved,goalKeeperSevenMetreSaveAccuracy,goalKeeperFieldShotsSaved,goalKeeperFieldSaveAccuracy,goalKeeperFieldShotsAgainst,goalKeeperSixMetreShotsSaved,goalKeeperSixMetreSaveAccuracy,goalKeeperNineMetreShotsSaved,goalKeeperNineMetreCentreSaveAccuracy,goalKeeperWingShotsSaved,goalKeeperWingSaveAccuracy,goalKeeperPivotShotsSaved,goalKeeperPivotSaveAccuracy,goalKeeperFastBreakShotsSaved,goalKeeperFastBreakSaveAccuracy,goalsScored,assists,twoMinuteSuspensions,redCards,,
Carsten Lichtlein,45b18c09-3953-11ef-aa0f-855e48b08f9c,G,1,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,home,VfL Gummersbach,TSV Hannover-Burgdorf,29,31,FALSE,2,13,11,4,3,9,8,9,0,0,5,3,3,3,0,0,1,0,NA,0,0,0,0,0
Matthias Puhle,45c3d49e-3953-11ef-a204-855e48b08f9c,G,16,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,home,VfL Gummersbach,TSV Hannover-Burgdorf,29,31,FALSE,13,30,17,3,2,27,15,27,5,2,8,1,8,7,1,0,5,3,NA,0,0,0,0,0
Martin Ziemer,4f967849-3953-11ef-9282-a9530db97767,G,1,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,away,TSV Hannover-Burgdorf,VfL Gummersbach,31,29,TRUE,11,30,18,3,2,27,16,27,4,3,11,2,7,3,3,2,2,2,NA,0,0,2,0,0
Malte Semisch,4fa9049a-3953-11ef-b76d-a9530db97767,G,16,2017,6/3/2018,0c665385-395b-11ef-8766-81dc40648355,away,TSV Hannover-Burgdorf,VfL Gummersbach,31,29,TRUE,4,16,11,2,2,14,9,14,4,3,7,2,2,2,1,1,0,0,NA,0,0,0,0,0
Mattias Andersson,452b38fc-3953-11ef-b6b1-855e48b08f9c,G,1,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,home,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,22,21,TRUE,4,14,10,4,3,10,7,10,2,1,4,2,0,0,4,4,0,0,NA,0,0,0,0,0
Kevin Møller,454487a1-3953-11ef-b79a-855e48b08f9c,G,16,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,home,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,22,21,TRUE,8,20,11,2,2,17,8,17,5,2,2,0,3,2,5,2,2,2,NA,0,0,0,0,0
Daniel Rebmann,4f58a816-3953-11ef-8711-a9530db97767,G,30,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,away,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,21,22,FALSE,0,2,2,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,NA,0,0,0,0,0
Primož Prošt,4f62a7ac-3953-11ef-839d-a9530db97767,G,16,2017,6/3/2018,0c3a8aeb-395b-11ef-a95f-81dc40648355,away,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,21,22,FALSE,11,34,20,5,1,29,19,29,7,5,9,5,4,3,6,4,3,2,NA,0,0,0,1,0
Andreas Palicka,445b2cbc-3953-11ef-902b-855e48b08f9c,G,12,2017,6/3/2018,0c754c8c-395b-11ef-a629-81dc40648355,home,Rhein-Neckar Löwen,SC DHfK Leipzig,28,25,TRUE,9,16,7,0,0,16,7,16,5,3,7,1,3,2,0,0,1,0,NA,0,0,0,0,0
Mikael  Appelgren,44645e02-3953-11ef-8503-855e48b08f9c,G,1,2017,6/3/2018,0c754c8c-395b-11ef-a629-81dc40648355,home,Rhein-Neckar Löwen,SC DHfK Leipzig,28,25,TRUE,11,29,18,2,2,27,16,27,13,10,9,1,2,0,0,0,3,3,NA,0,0,1,0,0
Jens Vortmann,4ff580b2-3953-11ef-b72c-a9530db97767,G,1,2017,6/3/2018,0c754c8c-395b-11ef-a629-81dc40648355,away,SC DHfK Leipzig,Rhein-Neckar Löwen,25,28,FALSE,3,18,14,3,2,15,12,15,6,5,8,3,0,0,0,0,1,1,NA,0,0,0,0,0
Milos Putera,50040472-3953-11ef-92f6-a9530db97767,G,44,2017,6/3/2018,0c754c8c-395b-11ef-a629-81dc40648355,away,SC DHfK Leipzig,Rhein-Neckar Löwen,25,28,FALSE,3,19,13,1,0,18,13,18,4,3,7,3,3,3,1,1,3,3,NA,0,0,0,0,0
Petr Štochl,10c5f5f4-3956-11ef-9504-63392ed267d4,G,71,2017,6/3/2018,0c57a3a2-395b-11ef-af73-81dc40648355,home,Füchse Berlin,TV 05/07 Hüttenberg,28,23,TRUE,12,36,21,5,3,31,18,31,9,6,12,5,4,2,2,2,4,2,NA,0,0,0,0,0
Silvio Heinevetter,43ebefd2-3953-11ef-b00f-855e48b08f9c,G,12,2017,6/3/2018,0c57a3a2-395b-11ef-af73-81dc40648355,home,Füchse Berlin,TV 05/07 Hüttenberg,28,23,TRUE,1,2,1,0,0,2,1,2,0,0,2,1,0,0,0,0,0,0,NA,0,0,0,0,0
Fabian Schomburg,5b2bab03-3953-11ef-ae3a-a9530db97767,G,12,2017,6/3/2018,0c57a3a2-395b-11ef-af73-81dc40648355,away,TV 05/07 Hüttenberg,Füchse Berlin,23,28,FALSE,2,17,15,0,0,17,15,17,3,2,4,3,2,1,6,6,2,2,NA,0,0,0,0,0
Matthias Ritschel,5b3b28b7-3953-11ef-9a1f-a9530db97767,G,1,2017,6/3/2018,0c57a3a2-395b-11ef-af73-81dc40648355,away,TV 05/07 Hüttenberg,Füchse Berlin,23,28,FALSE,5,20,13,2,2,18,11,18,5,4,5,3,3,0,3,2,2,2,NA,0,0,1,0,0
Dario Quenstedt,44b187b6-3953-11ef-9e2b-855e48b08f9c,G,21,2017,6/3/2018,0c4885ca-395b-11ef-81d1-81dc40648355,home,SC Magdeburg,MT Melsungen,33,31,TRUE,11,31,18,5,4,26,14,26,0,0,13,1,8,5,3,2,2,1,NA,0,0,1,0,0
Jannick Green Krejberg,44d79a17-3953-11ef-8d39-855e48b08f9c,G,16,2017,6/3/2018,0c4885ca-395b-11ef-81d1-81dc40648355,home,SC Magdeburg,MT Melsungen,33,31,TRUE,4,17,13,2,2,15,11,15,1,0,8,4,0,0,4,4,2,1,NA,0,0,0,0,0
Johan Sjöstrand,50f3aae7-3953-11ef-989a-a9530db97767,G,1,2017,6/3/2018,0c4885ca-395b-11ef-81d1-81dc40648355,away,MT Melsungen,SC Magdeburg,31,33,FALSE,10,46,32,3,3,43,29,43,12,10,16,2,9,6,3,3,3,3,NA,0,0,0,0,0
Fabian Meyfarth,973032bf-3954-11ef-aaea-0119270b4993,G,12,2017,6/3/2018,0c4885ca-395b-11ef-81d1-81dc40648355,away,MT Melsungen,SC Magdeburg,31,33,FALSE,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Maier,46b6afbc-3953-11ef-95ef-855e48b08f9c,G,12,2017,6/3/2018,1338d9b0-395b-11ef-a6dc-81dc40648355,home,TVB Stuttgart,HSG Wetzlar,26,36,FALSE,7,37,29,1,1,36,28,36,13,7,6,4,3,3,7,7,7,6,NA,0,0,0,0,0
Nick Lehmann,9577b60c-3954-11ef-9cc6-0119270b4993,G,22,2017,6/3/2018,1338d9b0-395b-11ef-a6dc-81dc40648355,home,TVB Stuttgart,HSG Wetzlar,26,36,FALSE,2,9,7,0,0,9,7,9,5,3,0,0,2,2,0,0,2,2,NA,0,0,0,0,0
Nikolai Weber,438dad2c-3953-11ef-a46d-855e48b08f9c,G,98,2017,6/3/2018,1338d9b0-395b-11ef-a6dc-81dc40648355,away,HSG Wetzlar,TVB Stuttgart,36,26,TRUE,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Till Klimpke,43d6ab14-3953-11ef-8590-855e48b08f9c,G,11,2017,6/3/2018,1338d9b0-395b-11ef-a6dc-81dc40648355,away,HSG Wetzlar,TVB Stuttgart,36,26,TRUE,1,5,3,0,0,5,3,5,2,0,1,1,1,1,0,0,0,0,NA,1,0,0,0,0
Benjamin Burić,43e2dd60-3953-11ef-a0c7-855e48b08f9c,G,12,2017,6/3/2018,1338d9b0-395b-11ef-a6dc-81dc40648355,away,HSG Wetzlar,TVB Stuttgart,36,26,TRUE,11,37,23,5,4,32,19,32,12,8,12,3,1,0,4,3,3,3,NA,0,0,2,0,0
Till Klimpke,43d6ab14-3953-11ef-8590-855e48b08f9c,G,11,2017,3/18/2018,0732444c-395b-11ef-9ea7-81dc40648355,home,HSG Wetzlar,TSV Hannover-Burgdorf,29,26,TRUE,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Benjamin Burić,43e2dd60-3953-11ef-a0c7-855e48b08f9c,G,12,2017,3/18/2018,0732444c-395b-11ef-9ea7-81dc40648355,home,HSG Wetzlar,TSV Hannover-Burgdorf,29,26,TRUE,13,37,24,2,2,35,22,35,4,3,19,3,1,1,7,7,4,4,NA,0,0,1,0,0
Martin Ziemer,4f967849-3953-11ef-9282-a9530db97767,G,1,2017,3/18/2018,0732444c-395b-11ef-9ea7-81dc40648355,away,TSV Hannover-Burgdorf,HSG Wetzlar,26,29,FALSE,10,36,25,5,4,31,21,31,5,5,12,2,7,6,6,3,1,1,NA,0,0,2,0,0
Malte Semisch,4fa9049a-3953-11ef-b76d-a9530db97767,G,16,2017,3/18/2018,0732444c-395b-11ef-9ea7-81dc40648355,away,TSV Hannover-Burgdorf,HSG Wetzlar,26,29,FALSE,2,6,4,0,0,6,4,6,2,2,1,0,2,1,0,0,1,1,NA,0,0,0,0,0
Kim Sonne-Hansen,473b8484-3953-11ef-bf2b-855e48b08f9c,G,16,2017,12/7/2017,fc2ba8f8-395a-11ef-aaa6-3d83d46a9f21,home,GWD Minden,TSV Hannover-Burgdorf,29,29,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Espen Christensen,73b6b317-3954-11ef-9291-bdf3bafad9bd,G,1,2017,12/7/2017,fc2ba8f8-395a-11ef-aaa6-3d83d46a9f21,home,GWD Minden,TSV Hannover-Burgdorf,29,29,FALSE,15,46,29,2,1,44,28,44,12,5,14,6,10,8,3,3,5,5,NA,0,1,0,0,0
Martin Ziemer,4f967849-3953-11ef-9282-a9530db97767,G,1,2017,12/7/2017,fc2ba8f8-395a-11ef-aaa6-3d83d46a9f21,away,TSV Hannover-Burgdorf,GWD Minden,29,29,FALSE,12,39,24,2,1,37,23,37,8,4,20,8,3,3,2,2,4,4,NA,0,0,1,0,0
Malte Semisch,4fa9049a-3953-11ef-b76d-a9530db97767,G,16,2017,12/7/2017,fc2ba8f8-395a-11ef-aaa6-3d83d46a9f21,away,TSV Hannover-Burgdorf,GWD Minden,29,29,FALSE,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
