season,gameDate,gameID,period,eventOrder,teamName,playerName,gameTime,eventText,eventType,eventSubType,homeScore,homeTeam,awayScore,awayTeam,x,y
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,1,SC DHfK Leipzig,Tomas Mrkva,0:00,Goalkeeper Change,goalKeeperChange,NA,0,SC DHfK Leipzig,0,HSG Wetzlar,NA,NA
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,2,HSG Wetzlar,Anadin Suljakovic,0:00,Goalkeeper Change,goalKeeperChange,NA,0,SC DHfK Leipzig,0,HSG Wetzlar,NA,NA
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,3,HSG Wetzlar,Josip Simic,0:45,Six Metre Goal Made,goal,sixMetre,0,SC DHfK Leipzig,1,HSG Wetzlar,19.48,55.56
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,4,SC DHfK Leipzig,Franz Semper,1:19,Six Metre Goal Made,goal,sixMetre,1,SC DHfK Leipzig,1,HSG Wetzlar,80.71,70.64
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,5,SC DHfK Leipzig,Franz Semper,1:36,Yellow Card,yellowCard,NA,1,SC DHfK Leipzig,1,HSG Wetzlar,80.71,70.64
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,6,HSG Wetzlar,Philipp Ahouansou,2:00,Nine Metre Goal Missed,goal,nineMetre,1,SC DHfK Leipzig,1,HSG Wetzlar,25.58,50.89
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,7,SC DHfK Leipzig,Franz Semper,3:01,Nine Metre Goal Made,goal,nineMetre,2,SC DHfK Leipzig,1,HSG Wetzlar,75.52,63.92
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,8,HSG Wetzlar,Stefan Cavor,4:21,Nine Metre Goal Missed,goal,nineMetre,2,SC DHfK Leipzig,1,HSG Wetzlar,25.19,52.81
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,9,SC DHfK Leipzig,Franz Semper,4:30,Six Metre Goal Made,goal,sixMetre,3,SC DHfK Leipzig,1,HSG Wetzlar,22.85,54.08
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,10,HSG Wetzlar,Josip Simic,4:45,Six Metre Goal Made,goal,sixMetre,3,SC DHfK Leipzig,2,HSG Wetzlar,21.1,44.58
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,11,HSG Wetzlar,Filip Vistorop,4:45,Assist,assist,NA,3,SC DHfK Leipzig,2,HSG Wetzlar,NA,NA
2025,9/7/2025,e3d82873-5ca5-11f0-abed-cb70ad9a9de9,1,12,SC DHfK Leipzig,Ahmed Moustafa Khairi Nasralla,5:48,Seven Metre Penalty Awarded,sevenMetrePenalty,awarded,3,SC DHfK Leipzig,2,HSG Wetzlar,NA,NA
