season,gameDate,gameID,period,eventOrder,teamName,playerId,playerName,gameTime,eventText,eventType,eventSubType,homeScore,homeTeam,awayScore,awayTeam,x,y,eventMinute,eventSecond,Possesion,HomeEmpty,AwayEmpty,HomeFieldPlayers,AwayFieldPlayers
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,1,FRISCH AUF! Göppingen,4f62a7ac-3953-11ef-839d-a9530db97767,Primož Prošt,0:00,Torwartwechsel,goalKeeperChange,NA,0,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,0,0,0,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,2,Füchse Berlin,43ebefd2-3953-11ef-b00f-855e48b08f9c,Silvio Heinevetter,0:00,Torwartwechsel,goalKeeperChange,NA,0,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,0,0,0,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,3,Füchse Berlin,ae67d9b9-3953-11ef-a797-e3f2de03a1b7,Wael Jallouz,1:04,Fehlwurf aus dem Rückraum,goal,nineMetre,0,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,1,4,1,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,4,Füchse Berlin,44108d27-3953-11ef-800f-855e48b08f9c,Mattias Zachrisson,2:03,Fehlwurf aus dem Rückraum,goal,nineMetre,0,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,2,3,2,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,5,FRISCH AUF! Göppingen,443762d6-3953-11ef-aa5d-855e48b08f9c,Kresimir Kozina,3:13,Tor aus der Nahwurfzone,goal,sixMetre,1,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,3,13,1,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,6,FRISCH AUF! Göppingen,4f3e7ba2-3953-11ef-80e6-a9530db97767,Tim Kneule,3:13,Assist,assist,NA,1,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,3,13,1,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,7,Füchse Berlin,44079141-3953-11ef-b85c-855e48b08f9c,Paul Drux,3:54,Technischer Fehler (Ball),technicalFault,ballFault,1,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,3,54,3,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,8,FRISCH AUF! Göppingen,a1d31c0a-3954-11ef-a52f-85d73a57ae73,Ivan Sliskovic,3:55,Tor aus dem Rückraum,goal,nineMetre,2,FRISCH AUF! Göppingen,0,Füchse Berlin,NA,NA,3,55,2,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,9,Füchse Berlin,44079141-3953-11ef-b85c-855e48b08f9c,Paul Drux,4:04,Tor aus der Nahwurfzone,goal,sixMetre,2,FRISCH AUF! Göppingen,1,Füchse Berlin,NA,NA,4,4,4,0,0,6,6
2018,8/23/2018,4b542951-395b-11ef-8175-b34af1083d1d,1,10,FRISCH AUF! Göppingen,4f53d460-3953-11ef-8697-a9530db97767,Marcel Schiller,4:42,Fehlwurf von außen,goal,wing,2,FRISCH AUF! Göppingen,1,Füchse Berlin,NA,NA,4,42,3,0,0,6,6
